total_tasks,completed_tasks,assigned_time_minutes,actual_time_minutes,productivity_score
8,5,3840,5199,67.04
19,0,7980,11461,27.85
11,3,4620,4976,53.5
5,2,2400,3366,52.52
10,10,3000,3747,92.03
14,14,3360,2339,100.0
16,5,6720,7116,56.52
19,18,6840,8379,89.5
20,3,4800,3211,68.79
6,2,1800,1291,75.77
12,9,3600,3934,81.6
5,1,1200,1082,56.36
15,1,7200,3848,78.84
17,2,7140,8133,42.18
9,1,2160,3008,35.39
8,0,2400,2155,44.55
17,10,4080,3764,78.65
7,6,2940,2273,100.0
12,8,5760,8184,68.15
15,0,5400,3263,66.2
17,7,4080,3664,69.25
6,1,1800,932,87.25
8,2,2400,1939,64.51
10,10,3600,5215,87.61
13,11,4680,5194,86.81
6,4,2880,2466,86.72
6,1,2160,1512,67.14
9,0,3780,3693,40.94
6,6,1800,1596,100.0
6,4,2520,3281,70.72
19,9,6840,3693,100.0
7,7,2100,1281,100.0
8,2,2400,1334,86.96
12,3,3600,4341,48.17
20,6,4800,3626,70.95
5,5,2100,2420,94.71
18,13,5400,3166,100.0
7,1,1680,1862,44.66
7,7,2940,2361,100.0
9,5,4320,4000,76.53
15,11,4500,5262,78.21
12,0,5040,4055,49.72
9,0,4320,5867,29.45
16,16,6720,9938,87.05
8,5,3360,2133,100.0
8,2,2880,2835,55.63
10,9,3600,4498,86.01
18,6,6480,7441,54.83
15,12,4500,3881,94.38
12,0,5040,5198,38.78
9,6,4320,2454,100.0
18,2,6480,8047,38.88
5,5,1500,1484,100.0
6,2,2880,2365,68.71
15,3,5400,6270,46.45
12,1,4320,6479,31.67
13,13,6240,3954,100.0
11,5,4620,4462,68.69
16,5,3840,1956,97.28
16,10,4800,4602,79.22
9,8,2160,2413,89.14
10,7,4200,3915,84.91
18,7,7560,8799,57.7
20,13,7200,8386,73.34
16,1,7680,4008,80.4
17,11,7140,10060,67.21
14,8,4200,2311,100.0
11,11,5280,2831,100.0
16,6,6720,9001,52.36
6,1,1440,1611,45.75
11,5,4620,2754,94.38
5,4,1500,1806,81.22
14,5,3360,3828,56.54
5,5,2400,3056,91.41
12,8,3600,3331,83.23
17,16,6120,6515,94.05
11,4,4620,3019,83.03
7,0,2940,2638,44.58
10,5,4200,5826,58.84
15,8,3600,3031,79.51
17,16,5100,3802,100.0
6,4,1800,1692,82.55
8,0,3360,4205,31.96
19,9,9120,7064,80.06
15,4,7200,5254,70.82
12,2,5760,3999,67.61
16,4,5760,7222,46.9
6,5,1800,1153,100.0
16,14,3840,3260,99.62
11,7,3300,4242,69.3
16,2,7680,4671,73.27
5,3,1500,1166,87.46
11,8,3300,1815,100.0
18,5,4320,2921,75.82
19,5,9120,13627,42.56
11,0,4620,6263,29.51
5,0,2100,1359,61.81
18,8,6480,5550,73.37
5,1,2100,1183,83.01
18,10,7560,7280,74.87
18,2,6480,4749,61.25
13,9,4680,6984,68.34
14,4,3360,1850,89.79
6,3,2520,2592,68.89
15,12,5400,2727,100.0
9,3,3240,4429,49.26
14,10,5880,7024,76.34
17,7,8160,7893,66.06
18,2,7560,5950,57.49
5,3,1800,1124,100.0
16,8,7680,5811,82.87
16,14,3840,3682,94.22
5,0,1800,1352,53.25
16,3,7680,5707,65.08
8,3,2880,1528,97.89
19,16,9120,6832,100.0
5,2,1500,2084,52.79
20,0,9600,11964,32.1
16,7,7680,4340,97.03
17,1,4080,3213,54.32
8,1,1920,2180,42.73
13,8,4680,3833,85.76
7,5,2940,2866,83.89
15,11,3600,2558,100.0
20,13,7200,9959,67.92
6,1,1440,1411,50.82
15,3,7200,8075,47.67
12,9,5040,5858,79.41
6,1,1800,1660,53.37
17,10,6120,4840,85.87
12,3,5760,4406,67.29
12,12,5760,5738,100.0
20,1,4800,6485,32.61
17,7,4080,5275,55.64
11,10,2640,2450,97.65
20,16,7200,8039,83.83
6,0,2520,3259,30.93
10,10,4800,6558,89.28
12,2,5040,7213,37.95
19,7,4560,5308,56.47
6,6,2880,2579,100.0
7,6,1680,2473,78.6
20,15,6000,4980,93.19
14,10,4200,5595,72.88
12,8,2880,2651,83.46
14,13,5880,8271,84.15
6,0,1800,1171,61.49
15,15,7200,7293,99.49
20,16,6000,6636,84.17
6,1,2160,2592,43.33
13,9,6240,9266,68.48
8,2,2880,2594,59.41
8,3,3360,4891,49.98
8,8,3360,2226,100.0
11,10,5280,7514,82.65
18,9,4320,2613,96.13
13,1,4680,5744,37.21
9,3,2700,3890,47.76
8,8,1920,2281,93.67
6,0,1800,2348,30.66
12,9,2880,4272,71.97
8,0,2880,2175,52.97
18,17,4320,4971,91.43
11,9,2640,2174,97.66
5,5,1200,1701,88.22
19,12,5700,7359,68.88
5,3,1500,1388,79.23
9,4,2160,3000,55.47
14,0,5880,8291,28.37
7,2,1680,1361,66.52
18,6,7560,6820,64.34
13,4,6240,3659,86.68
14,3,5040,4478,57.88
6,2,2520,3168,51.82
10,9,2400,2803,88.25
7,5,3360,2200,100.0
14,6,5040,3838,78.24
6,3,2520,3588,58.09
14,3,3360,2069,77.82
9,9,2160,1351,100.0
13,9,6240,5513,86.81
15,6,4500,4412,64.8
5,1,1200,1107,55.36
